unhrc,name
Antigua and Barbuda,
Bolivia (Plurinational State of),
Bosnia and Herzegovina,
British Virgin Islands,
Brunei Darussalam,
Cabo Verde,
Cayman Islands,
"China, Hong Kong SAR",
"China, Macao SAR",
"Congo, Republic of",
Côte d'Ivoire,
Curaçao,
Czechia,
Dem. Rep. of the Congo,
Iran (Islamic Rep. of),
Mauritius,
Micronesia (Federated States of),
Rep. of Korea,
Rep. of Moldova,
Russian Federation,
Serbia and Kosovo: S/RES/1244 (1999),
Seychelles,
Sint Maarten (Dutch part),
South Sudan,
Syrian Arab Rep.,
The former Yugoslav Republic of Macedonia,
Turks and Caicos Islands,
United Rep. of Tanzania,
United States of America,
Venezuela (Bolivarian Republic of),
Viet Nam,
Palestinian,
Stateless,
Western Sahara,
Dem. People's Rep. of Korea,
Equatorial Guinea,
Various,
Lao People's Dem. Rep.,
Maldives,
Solomon Islands,
Tibetan,
French Guiana,
Saint-Pierre-et-Miquelon,
Sao Tome and Principe,
Saint Kitts and Nevis,
Saint Vincent and the Grenadines,
Tuvalu,
Wallis and Futuna Islands ,
Cook Islands,
Gibraltar,
Guadeloupe,
Marshall Islands,
,Antigua and Barb.
,Cayman Is.
,St-Martin
,Montserrat
,Puerto Rico
,St. Pierre and Miquelon
,Sint Maarten
,Turks and Caicos Is.
,St. Vin. and Gren.
,United States
,Greenland
,British Virgin Is.
,U.S. Virgin Is.
,St. Kitts and Nevis
,Falkland Is.
,Bolivia
,Venezuela
,Brunei
,N. Cyprus
,Hong Kong
,Indian Ocean Ter.
,Iran
,Siachen Glacier
,Korea
,Lao PDR
,Macao
,Palestine
,Dem. Rep. Korea
,Syria
,Taiwan
,Vietnam
,Dem. Rep. Congo
,Congo
,Cape Verde
,Eq. Guinea
,W. Sahara
,S. Sudan
,Somaliland
,Tanzania
,Aland
,Bosnia and Herz.
,Czech Rep.
,Faeroe Is.
,Guernsey
,Jersey
,Isle of Man
,Kosovo
,Moldova
,Macedonia
,Russia
,Serbia
,Vatican
,Cook Is.
,Guam
,N. Mariana Is.
,Micronesia
,Marshall Is.
,Ashmore and Cartier Is.
,Pitcairn Is.
,Fr. Polynesia
,Solomon Is.
,New Caledonia
,Wallis and Futuna Is.
