Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Afghanistan,Afghanistan,Azerbaijan,Returned refugees,5,0
Afghanistan,Afghanistan,Senegal,Returned refugees,8,8
Afghanistan,Afghanistan,Pakistan,Returned refugees,34376,33373
Afghanistan,Afghanistan,Kazakhstan,Returned refugees,5,5
Afghanistan,Afghanistan,Iran (Islamic Rep. of),Returned refugees,319,319
Afghanistan,Afghanistan,Indonesia,Returned refugees,23,23
Afghanistan,Afghanistan,Tajikistan,Returned refugees,52,52
Afghanistan,Afghanistan,India,Returned refugees,66,29
Afghanistan,Afghanistan,,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",1618995,43445
Afghanistan,Afghanistan,,Others of concern to UNHCR,448032,448032
Afghanistan,Afghanistan,,Total population of concern,2101881,525286
Afghanistan,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,36,36
Afghanistan,Iran (Islamic Rep. of),,Asylum-seekers,10,10
Afghanistan,Iran (Islamic Rep. of),,Total population of concern,46,46
Afghanistan,Iraq,,Total Refugee and people in refugee-like situations,0,0
Afghanistan,Iraq,,Total population of concern,0,0
Afghanistan,Kyrgyzstan,,Asylum-seekers,0,0
Afghanistan,Kyrgyzstan,,Total population of concern,0,0
Afghanistan,Pakistan,,Total Refugee and people in refugee-like situations,87082,87082
Afghanistan,Pakistan,,Asylum-seekers,102,102
Afghanistan,Pakistan,,Total population of concern,87184,87184
Afghanistan,Tajikistan,,Asylum-seekers,11,11
Afghanistan,Tajikistan,,Total population of concern,11,11
Afghanistan,Turkey,,Asylum-seekers,79,79
Afghanistan,Turkey,,Total population of concern,79,79
Afghanistan,Uzbekistan,,Asylum-seekers,0,0
Afghanistan,Uzbekistan,,Total population of concern,0,0
Albania,China,,Total Refugee and people in refugee-like situations,11,11
Albania,China,,Total population of concern,11,11
Albania,Croatia,,Asylum-seekers,0,0
Albania,Croatia,,Total population of concern,0,0
Albania,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,0,0
Albania,Dem. Rep. of the Congo,,Total population of concern,0,0
Albania,Egypt,,Total Refugee and people in refugee-like situations,0,0
Albania,Egypt,,Total population of concern,0,0
Albania,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,12,12
Albania,Iran (Islamic Rep. of),,Asylum-seekers,2734,2734
Albania,Iran (Islamic Rep. of),,Total population of concern,2746,2746
Albania,Iraq,,Total Refugee and people in refugee-like situations,0,0
Albania,Iraq,,Total population of concern,0,0
Albania,Mauritania,,Total Refugee and people in refugee-like situations,0,0
Albania,Mauritania,,Total population of concern,0,0
Albania,Montenegro,,Total Refugee and people in refugee-like situations,0,0
Albania,Montenegro,,Total population of concern,0,0
Albania,Palestinian,,Total Refugee and people in refugee-like situations,0,0
Albania,Palestinian,,Total population of concern,0,0
Albania,Peru,,Total Refugee and people in refugee-like situations,0,0
Albania,Peru,,Total population of concern,0,0
Albania,Russian Federation,,Total Refugee and people in refugee-like situations,0,0
Albania,Russian Federation,,Total population of concern,0,0
Albania,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,60,60
Albania,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,6,6
Albania,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,66,66
Albania,Stateless,,Persons under UNHCR's statelessness mandate,4860,232
Albania,Stateless,,Total population of concern,4860,232
